ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,354,89.34,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,G. RAJENDIRAN,IND,227,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,E.KOTHANDAN,IND,203,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,N. BALAKRISHNAN,IND,186,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,N. NAGENDRABABU,IND,184,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,89.34,Tamizhaga Vaazhvurimai Katchi,Thiruvallur,Tiruvallur,Chennai Metro,GEN
4,R. RAMANAN,IND,118,89.34,IND,Thiruvallur,Tiruvallur,Chennai Metro,GEN
5,PRAKASAM.R,TVK,161309,85.71,TVK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,KRISHNASWAMY.A,DMK,88569,85.71,DMK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,ELUMALAI.T.A,AMMK,43280,85.71,AMMK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,MEKALA.J,NTK,11697,85.71,NTK,Poonamallee,Tiruvallur,Chennai Metro,SC
5,NOTA,NOTA,1571,85.71,NOTA,Poonamallee,Tiruvallur,Chennai Metro,SC
5,RAJASEKARAN.K,Bahujan Samaj Party,860,85.71,BSP,Poonamallee,Tiruvallur,Chennai Metro,SC
5,RAVIKUMAR.M,IND,355,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,DR.JAYANTHI.R,IND,304,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,SIVAKUMAR.S,IND,297,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,VELU.S,IND,264,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,PURUSHOTHAMAN.B,IND,255,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
5,DHASARATHAN.R,IND,133,85.71,IND,Poonamallee,Tiruvallur,Chennai Metro,SC
6,R.RAMESH KUMAR,TVK,180384,78.96,TVK,Avadi,Tiruvallur,Chennai Metro,GEN
6,S.M.NASAR,DMK,104073,78.96,DMK,Avadi,Tiruvallur,Chennai Metro,GEN
6,RAJASIMHA MAHENDRA,BJP,39605,78.96,BJP,Avadi,Tiruvallur,Chennai Metro,GEN
6,PUNITHA SHANMUGAM,NTK,16335,78.96,NTK,Avadi,Tiruvallur,Chennai Metro,GEN
6,NOTA,NOTA,1533,78.96,NOTA,Avadi,Tiruvallur,Chennai Metro,GEN
6,S. CHARLES,Bahujan Samaj Party,761,78.96,BSP,Avadi,Tiruvallur,Chennai Metro,GEN
6,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,627,78.96,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Avadi,Tiruvallur,Chennai Metro,GEN
6,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,478,78.96,Tamizhaga Vaazhvurimai Katchi,Avadi,Tiruvallur,Chennai Metro,GEN
6,R. KUMAR,IND,308,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,P. CHELLAPANDIAN,IND,255,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,C.S. Karnan,Anti Corruption Dynamic Party,224,78.96,Anti Corruption Dynamic Party,Avadi,Tiruvallur,Chennai Metro,GEN
6,G.D. ARUNKUMAR,IND,205,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,R. MANIKANDAN,IND,195,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,177,78.96,Samaniya Makkal Nala Katchi,Avadi,Tiruvallur,Chennai Metro,GEN
6,S. SENTHILKUMAR,IND,167,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,156,78.96,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Avadi,Tiruvallur,Chennai Metro,GEN
6,K. BALAKRISHNAN,IND,141,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,M. ERAJASIMMAN,IND,105,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,RAJASEKAR. R,IND,105,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,UNIESH RAJ. M,IND,94,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
6,K. ANNAMALAI,IND,77,78.96,IND,Avadi,Tiruvallur,Chennai Metro,GEN
7,RHEVANTH CHARAN,TVK,141725,74.9,TVK,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,GANAPATHY. K,DMK,80216,74.9,DMK,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,P. BENJAMIN,AIADMK,54705,74.9,AIADMK,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,REVATHI L,NTK,13024,74.9,NTK,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,NOTA,NOTA,1462,74.9,NOTA,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,R. SIVA,IND,322,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,MURALI. S,Naam Indiar Party,300,74.9,Naam Indiar Party,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,266,74.9,Naadaalum Makkal Katchi,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,233,74.9,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Maduravoyal,Tiruvallur,Chennai Metro,GEN
