ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
1,GOVINDARAJAN T.J,DMK,126452,78.08,DMK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,PRAKASH M,PMK,75514,78.08,PMK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,USHA,NTK,11701,78.08,NTK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,DILLIY K.M,DMDK,2576,78.08,DMDK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,None Of The Above,NOTA,1783,78.08,NOTA,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,NAGARAJ S,BSP,1038,78.08,BSP,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,SARAVANAN V,IJK,816,78.08,IJK,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,SARAVANAN E,IND,532,78.08,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,DEVANATHAN R,IND,482,78.08,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,LAKSHMI R,IND,374,78.08,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,PRAKASH K,IND,351,78.08,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,78.08,Anaithu Makkal Arasiyal Katchi,Gummidipundi,Tiruvallur,Chennai Metro,GEN
1,PRAKASH M,IND,196,78.08,IND,Gummidipundi,Tiruvallur,Chennai Metro,GEN
2,DURAI. CHANDRASEKAR,INC,94528,78.2,INC,Ponneri,Tiruvallur,Chennai Metro,SC
2,BALARAMAN. P,AIADMK,84839,78.2,AIADMK,Ponneri,Tiruvallur,Chennai Metro,SC
2,MAHESWARI. A,NTK,19027,78.2,NTK,Ponneri,Tiruvallur,Chennai Metro,SC
2,DESINGURAJAN. D,MNM,5394,78.2,MNM,Ponneri,Tiruvallur,Chennai Metro,SC
2,PON. RAJA,AMMK,2832,78.2,AMMK,Ponneri,Tiruvallur,Chennai Metro,SC
2,None Of The Above,NOTA,1554,78.2,NOTA,Ponneri,Tiruvallur,Chennai Metro,SC
2,BHAVANI ILAVENIL. J,BSP,1106,78.2,BSP,Ponneri,Tiruvallur,Chennai Metro,SC
2,ASHOK PRIYADARSHAN. S,IND,470,78.2,IND,Ponneri,Tiruvallur,Chennai Metro,SC
2,SUGUMAR. K,IND,298,78.2,IND,Ponneri,Tiruvallur,Chennai Metro,SC
2,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,78.2,Anna MGR Dravida Makkal Kalgam,Ponneri,Tiruvallur,Chennai Metro,SC
2,SAMBATH KUMAR.C.H,IND,116,78.2,IND,Ponneri,Tiruvallur,Chennai Metro,SC
3,S.Chandran,DMK,120314,78.76,DMK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,G.Hari,AIADMK,91061,78.76,AIADMK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,L.AKILA,NTK,12007,78.76,NTK,Tiruttani,Tiruvallur,Chennai Metro,GEN
3,D.Krishnamoorthi,DMDK,3928,78.76,DMDK,Tiruttani,Tiruvallur,Chennai Metro,GEN
